hhid,round,gps_latitude,gps_longitude
1018,7,2.3,38.0
1019,1,2.4000001,38.200001
1019,2,2.4000001,38.200001
1019,3,2.4000001,38.200001
1019,5,2.4000001,38.200001
1019,7,2.4000001,38.200001
1019,7,2.4000001,38.200001
1019,7,2.4000001,38.200001
1019,7,2.4000001,38.200001
1019,7,2.4000001,38.200001
1019,7,2.4000001,38.200001
1019,7,2.3,38.0
1020,1,2.5999999,38.0
1020,2,2.5999999,38.0
1020,3,2.5999999,38.0
1020,7,2.5999999,38.0
1020,7,2.5999999,38.0
1020,7,2.5999999,38.0
1020,7,2.3,38.0
1021,1,2.5,38.099998
1021,2,2.5,38.099998
1021,3,2.5,38.099998
1021,5,2.5,38.099998
1021,7,2.5,38.099998
1021,7,2.5,38.099998
1021,7,2.5,38.099998
1021,7,2.5,38.099998
1021,7,2.5,38.099998
1021,7,2.5,38.099998
1021,7,2.3,38.0
1022,1,2.5,38.200001
1022,2,2.5,38.200001
1022,3,2.5,38.200001
1022,5,2.5,38.200001
1022,7,2.5,38.200001
1022,7,2.5,38.200001
1022,7,2.5,38.200001
1022,7,2.5,38.200001
1022,7,2.5,38.200001
1022,7,2.5,38.200001
1022,7,2.3,38.0
1023,1,2.5999999,38.099998
1023,2,2.5999999,38.099998
1023,3,2.5999999,38.099998
1023,5,2.5999999,38.099998
1023,7,2.5999999,38.099998
1023,7,2.5999999,38.099998
1023,7,2.5999999,38.099998
1023,7,2.5999999,38.099998
1023,7,2.5999999,38.099998
1023,7,2.5999999,38.099998
1023,7,2.3,38.0
1024,1,2.5999999,38.099998
1024,2,2.5999999,38.099998
1024,3,2.5999999,38.099998
1024,5,2.5999999,38.099998
1024,7,2.5999999,38.099998
1024,7,2.5999999,38.099998
1024,7,2.5999999,38.099998
1024,7,2.5999999,38.099998
1024,7,2.5999999,38.099998
1024,7,2.5999999,38.099998
1024,7,2.3,38.0
1025,1,2.4000001,38.099998
1025,2,2.4000001,38.099998
1025,3,2.4000001,38.099998
1025,5,2.4000001,38.099998
1025,7,2.4000001,38.099998
1025,7,2.4000001,38.099998
1025,7,2.4000001,38.099998
1025,7,2.4000001,38.099998
1025,7,2.4000001,38.099998
1025,7,2.4000001,38.099998
1025,7,2.3,38.0
1026,1,2.5,38.099998
1026,2,2.5,38.099998
1026,3,2.5,38.099998
1026,5,2.5,38.099998
1026,7,2.5,38.099998
1026,7,2.5,38.099998
1026,7,2.5,38.099998
1026,7,2.5,38.099998
1026,7,2.5,38.099998
1026,7,2.5,38.099998
1026,7,2.3,38.0
1027,1,2.4000001,38.200001
1027,2,2.4000001,38.200001
