hhid,round,comment,LSID,LSID_other,s14q74,s14q70_r6,s14q70b_r6,s14q74a,s14q66_r6,s14q66a_r6,s14q66b_r6,s14q75,s14q76,s14q77,s14q78,s14q78b
1021,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1021,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1021,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1021,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1021,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1022,3,0,Bank,,No,,,,,,,,,,"Transaction costs are too high (e.g., credit institutions are too far, too much paperwork, etc.)",
1022,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1022,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1022,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1022,3,0,Family/friends,,No,,,,,,,,,,Interest rate and fee are too high,
1022,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1022,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1022,4,0,Bank,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1022,4,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1022,4,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1022,4,0,Money lenders,,Yes,,,,,,,1,1,No. We don't need any (more) loan,,
1022,4,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1022,4,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1022,4,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1023,3,0,Bank,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1023,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1023,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1023,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1023,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1023,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1023,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1024,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1024,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,5,0,Bank,,No,,,,,,,,,,Interest rate and fee are too high,
1024,5,0,MFI/FSA,,Yes,,,,,,,2,1,"Yes, BUT fear of not being able to repay especially if unexpected shocks occur",,
1024,5,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1024,5,0,Money lenders,,No,,,,,,,,,,Interest rate and fee are too high,
1024,5,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,5,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1024,5,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1024,6,0,Bank,,No,,,,,,,,,,,
1024,6,0,MFI/FSA,,Yes,Food,,Yes,20000,No,20475,,,,,
1024,6,0,SACCO/Cooperatives,,No,,,,,,,,,,,
1024,6,0,Money lenders,,No,,,,,,,,,,,
1024,6,0,Family/friends,,No,,,,,,,,,,,
1024,6,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,,
1024,6,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,,
1024,6,0,Other (specify),,No,,,,,,,,,,,
1025,3,0,Bank,,No,,,,,,,,,,.b,
1025,3,0,MFI/FSA,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1025,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1025,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1025,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1025,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1025,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1026,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1026,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1026,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1026,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1026,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1026,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1026,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1027,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1027,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1027,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1027,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1027,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1027,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1027,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1029,3,0,Bank,,Yes,,,,,,,3,3,No. We don't need any (more) loan,,
1029,3,0,MFI/FSA,,No,,,,,,,,,,"Transaction costs are too high (e.g., credit institutions are too far, too much paperwork, etc.)",
1029,3,0,SACCO/Cooperatives,,Yes,,,,,,,4,3,"Yes,BUT this source will not give more loan",,
1029,3,0,Money lenders,,No,,,,,,,,,,Interest rate and fee are too high,
1029,3,0,Family/friends,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1029,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1029,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1029,4,0,Bank,,No,,,,,,,,,,We don't need any loan,
1029,4,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1029,4,0,SACCO/Cooperatives,,Yes,,,,,,,1,1,No. We don't need any (more) loan,,
1029,4,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1029,4,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1029,4,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1029,4,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1031,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1031,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1031,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1031,3,0,Money lenders,,No,,,,,,,,,,"Transaction costs are too high (e.g., credit institutions are too far, too much paperwork, etc.)",
1031,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1031,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1031,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1032,3,0,Bank,,No,,,,,,,,,,We don't need any loan,
1032,3,0,MFI/FSA,,No,,,,,,,,,,We don't need any loan,
1032,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1032,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1032,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
